system,strategy,technique,size_type,mre
Irzip,ddbs,MR,T2,0.6745764326389164
Irzip,ddbs,MR,T3,0.46256059457146803
Irzip,ddbs,RF,T1,2.8447544841435466
Irzip,ddbs,RF,T2,1.0549473024205065
Irzip,ddbs,RF,T3,0.6398918608959674
Irzip,ddbs,SVR,T1,2.099378729220253
Irzip,ddbs,SVR,T2,1.350660341857477
Irzip,ddbs,SVR,T3,1.0675821902087963
Irzip,ddbs,kNN,T1,3.095809299235981
Irzip,ddbs,kNN,T2,1.5139710869068717
Irzip,ddbs,kNN,T3,1.1349816849472303
Irzip,random,CART,T1,2.259024741964751
Irzip,random,CART,T2,0.22206930228982266
Irzip,random,CART,T3,0.08410492722625279
Irzip,random,KRR,T1,3.930175407685094
Irzip,random,KRR,T2,2.4807798248758397
Irzip,random,KRR,T3,1.8005736290120204
Irzip,random,MR,T1,1.6264303677046235
Irzip,random,MR,T2,0.5855892159338578
Irzip,random,MR,T3,0.2629414644965394
Irzip,random,RF,T1,3.6102435552322287
Irzip,random,RF,T2,0.4872792370789172
Irzip,random,RF,T3,0.15087077146581196
Irzip,random,SVR,T1,2.3177743226422978
Irzip,random,SVR,T2,1.589121181617634
Irzip,random,SVR,T3,1.4257771161026604
Irzip,random,kNN,T1,4.0241944917239385
Irzip,random,kNN,T2,2.3481006797363837
Irzip,random,kNN,T3,1.6398242214568244
Irzip,rsbs,CART,T1,6.2498810573955526
Irzip,rsbs,CART,T2,0.7666071604319166
Irzip,rsbs,CART,T3,0.7392855388182137
Irzip,rsbs,KRR,T1,8.870229415739738
Irzip,rsbs,KRR,T2,3.372746283535357
Irzip,rsbs,KRR,T3,3.522725207702085
Irzip,rsbs,MR,T1,4.72827606667063
Irzip,rsbs,MR,T2,1.1759730208466759
Irzip,rsbs,MR,T3,1.5476329735299423
Irzip,rsbs,RF,T1,13.659896105403197
Irzip,rsbs,RF,T2,0.7630265184350157
Irzip,rsbs,RF,T3,0.8137367589431439
Irzip,rsbs,SVR,T1,11.127020515830962
Irzip,rsbs,SVR,T2,2.3475512000565995
Irzip,rsbs,SVR,T3,2.2525599681993564
Irzip,rsbs,kNN,T1,18.01968246373551
Irzip,rsbs,kNN,T2,6.075537093819044
Irzip,rsbs,kNN,T3,1.930525060390497
Irzip,sbs,CART,T1,0.8843745090327132
Irzip,sbs,CART,T2,1.8272035736330836
Irzip,sbs,CART,T3,0.2133475290092292
Irzip,sbs,KRR,T1,0.5322954411284152
Irzip,sbs,KRR,T2,1.9488870147338504
Irzip,sbs,KRR,T3,0.7564636199837708
Irzip,sbs,MR,T1,0.498332934423694
Irzip,sbs,MR,T2,1.627377376951499
Irzip,sbs,MR,T3,0.3096734805200259
Irzip,sbs,RF,T1,0.5606783884433281
Irzip,sbs,RF,T2,2.637263929918385
Irzip,sbs,RF,T3,0.2241617495486043
Irzip,sbs,SVR,T1,0.5597100550627384
Irzip,sbs,SVR,T2,1.550967941928309
Irzip,sbs,SVR,T3,0.7663225365505311
Irzip,sbs,kNN,T1,0.5559544028511755
Irzip,sbs,kNN,T2,1.432266887672649
Irzip,sbs,kNN,T3,0.9096141344319592
Irzip,twise,CART,T1,1.0467361880202737
Irzip,twise,CART,T2,0.4123156483021531
Irzip,twise,CART,T3,0.0210836443341483
Irzip,twise,KRR,T1,14.030458157465931
Irzip,twise,KRR,T2,3.780425885046736
Irzip,twise,KRR,T3,1.2555227058730674
Irzip,twise,MR,T1,1.0743475365513977
Irzip,twise,MR,T2,0.4192568758852683
Irzip,twise,MR,T3,0.1742909859120593
Irzip,twise,RF,T1,4.644467028810575
Irzip,twise,RF,T2,0.4321879224504657
Irzip,twise,RF,T3,0.0714456816549097
Irzip,twise,SVR,T1,4.866236290791722
Irzip,twise,SVR,T2,1.5854515505011042
Irzip,twise,SVR,T3,1.297847400634218
Irzip,twise,kNN,T1,4.426735463439449
Irzip,twise,kNN,T2,2.1748485566763542
Irzip,twise,kNN,T3,1.462144342177389
JavaGC,dbs,CART,T1,1.8736314795922966
JavaGC,dbs,CART,T2,0.5051854964150008
JavaGC,dbs,CART,T3,0.42351407231802396
JavaGC,dbs,KRR,T1,1.7882735015061209
JavaGC,dbs,KRR,T2,1.025014176066923
JavaGC,dbs,KRR,T3,1.1665381609184307
JavaGC,dbs,MR,T1,1.6575841268760303
JavaGC,dbs,MR,T2,0.8834821680008595
JavaGC,dbs,MR,T3,0.8029948431536679
JavaGC,dbs,RF,T1,1.4635755420424388
JavaGC,dbs,RF,T2,0.54501970840698
JavaGC,dbs,RF,T3,0.47354219538816444
JavaGC,dbs,SVR,T1,1.689452004461007
JavaGC,dbs,SVR,T2,1.3746353941945346
JavaGC,dbs,SVR,T3,1.3206631957327035
JavaGC,dbs,kNN,T1,1.5665408720033576
JavaGC,dbs,kNN,T2,1.186877514004281
JavaGC,dbs,kNN,T3,1.163511974338594
JavaGC,ddbs,CART,T1,1.4753261678507237
JavaGC,ddbs,CART,T2,0.3496038497762644
JavaGC,ddbs,CART,T3,0.14944860214750333
JavaGC,ddbs,KRR,T1,1.35518287627244
