system,strategy,technique,size_type,var
Hippacc,rsbs,KRR,T3,1.5411022773756973e-05
Hippacc,rsbs,MR,T1,0.0035885678201386276
Hippacc,rsbs,MR,T2,0.00014661267583109146
Hippacc,rsbs,MR,T3,1.1993405878067001e-05
Hippacc,rsbs,RF,T1,0.0005024247634346839
Hippacc,rsbs,RF,T2,8.529047821241058e-05
Hippacc,rsbs,RF,T3,1.162723412062283e-05
Hippacc,rsbs,SVR,T1,0.00042690468203624674
Hippacc,rsbs,SVR,T2,8.412825345847345e-05
Hippacc,rsbs,SVR,T3,2.718742109198692e-05
Hippacc,rsbs,kNN,T1,0.00046288409185202544
Hippacc,rsbs,kNN,T2,0.00010429384353104795
Hippacc,rsbs,kNN,T3,3.0506890481303823e-05
Hippacc,sbs,CART,T1,0.0
Hippacc,sbs,CART,T2,0.0
Hippacc,sbs,CART,T3,0.0
Hippacc,sbs,KRR,T1,0.0
Hippacc,sbs,KRR,T2,0.0
Hippacc,sbs,KRR,T3,0.0
Hippacc,sbs,MR,T1,0.0
Hippacc,sbs,MR,T2,0.0
Hippacc,sbs,MR,T3,0.0
Hippacc,sbs,RF,T1,0.0
Hippacc,sbs,RF,T2,0.0
Hippacc,sbs,RF,T3,0.0
Hippacc,sbs,SVR,T1,0.0
Hippacc,sbs,SVR,T2,0.0
Hippacc,sbs,SVR,T3,0.0
Hippacc,sbs,kNN,T1,0.0
Hippacc,sbs,kNN,T2,0.0
Hippacc,sbs,kNN,T3,0.0
Hippacc,twise,CART,T1,0.0
Hippacc,twise,CART,T2,0.0
Hippacc,twise,CART,T3,0.0
Hippacc,twise,KRR,T1,0.0
Hippacc,twise,KRR,T2,0.0
Hippacc,twise,KRR,T3,0.0
Hippacc,twise,MR,T1,0.0
Hippacc,twise,MR,T2,0.0
Hippacc,twise,MR,T3,0.0
Hippacc,twise,RF,T1,0.0
Hippacc,twise,RF,T2,0.0
Hippacc,twise,RF,T3,0.0
Hippacc,twise,SVR,T1,0.0
Hippacc,twise,SVR,T2,0.0
Hippacc,twise,SVR,T3,0.0
Hippacc,twise,kNN,T1,0.0
Hippacc,twise,kNN,T2,0.0
Hippacc,twise,kNN,T3,0.0
Irzip,dbs,CART,T1,3.9123031640175205
Irzip,dbs,CART,T2,0.00785286259602722
Irzip,dbs,CART,T3,0.02179199213246823
Irzip,dbs,KRR,T1,1.4858501636857253
Irzip,dbs,KRR,T2,0.2011281163470584
Irzip,dbs,KRR,T3,0.17845627790077437
Irzip,dbs,MR,T1,0.10303563793766203
Irzip,dbs,MR,T2,0.012005736674152322
Irzip,dbs,MR,T3,0.003003498308112231
Irzip,dbs,RF,T1,1.5477116227413297
Irzip,dbs,RF,T2,0.0025571974987244296
Irzip,dbs,RF,T3,0.005524476318389847
Irzip,dbs,SVR,T1,0.39549140256796916
Irzip,dbs,SVR,T2,0.01945253688847311
Irzip,dbs,SVR,T3,0.035863505546797764
Irzip,dbs,kNN,T1,2.083584343420772
Irzip,dbs,kNN,T2,0.03109591251578592
Irzip,dbs,kNN,T3,0.06854140223316184
Irzip,ddbs,CART,T1,19.287311794406527
Irzip,ddbs,CART,T2,0.043662008663114524
Irzip,ddbs,CART,T3,0.035121815674601146
Irzip,ddbs,KRR,T1,10.038342152908466
Irzip,ddbs,KRR,T2,0.14361435494724245
Irzip,ddbs,KRR,T3,0.03979548902457126
Irzip,ddbs,MR,T1,1.1034352843909596
Irzip,ddbs,MR,T2,0.06669371467121242
Irzip,ddbs,MR,T3,0.03017853153091129
Irzip,ddbs,RF,T1,5.809664615948257
Irzip,ddbs,RF,T2,0.2658409802172552
Irzip,ddbs,RF,T3,0.01922164235191147
Irzip,ddbs,SVR,T1,2.436237098214509
Irzip,ddbs,SVR,T2,0.18480128415495894
Irzip,ddbs,SVR,T3,0.024620952410460046
Irzip,ddbs,kNN,T1,6.50277693570563
Irzip,ddbs,kNN,T2,0.16382966148907208
Irzip,ddbs,kNN,T3,0.030156703296457484
Irzip,random,CART,T1,5.72397336616023
Irzip,random,CART,T2,0.022373617584840213
Irzip,random,CART,T3,0.0029594577143372924
Irzip,random,KRR,T1,6.512204315116497
Irzip,random,KRR,T2,0.5775454995759752
Irzip,random,KRR,T3,0.19610219042296598
Irzip,random,MR,T1,1.7465594801155118
Irzip,random,MR,T2,0.21320089667871364
Irzip,random,MR,T3,0.008872152491117632
Irzip,random,RF,T1,6.333641604810742
Irzip,random,RF,T2,0.05673147198369115
Irzip,random,RF,T3,0.0019257752868387544
Irzip,random,SVR,T1,1.8041421379168614
Irzip,random,SVR,T2,0.16621527915987377
Irzip,random,SVR,T3,0.0670212109766515
Irzip,random,kNN,T1,6.283309687381883
Irzip,random,kNN,T2,0.4543159903174989
Irzip,random,kNN,T3,0.13110336145973966
Irzip,rsbs,CART,T1,81.72008086522075
Irzip,rsbs,CART,T2,0.044786532517827125
Irzip,rsbs,CART,T3,0.064302960495677
Irzip,rsbs,KRR,T1,9.065351889980597
Irzip,rsbs,KRR,T2,1.2329248247057538
Irzip,rsbs,KRR,T3,1.907399389691995
Irzip,rsbs,MR,T1,35.0656654098467
Irzip,rsbs,MR,T2,0.5560184077959871
Irzip,rsbs,MR,T3,1.0878596355596262
Irzip,rsbs,RF,T1,24.658484685223613
Irzip,rsbs,RF,T2,0.015833819171419367
Irzip,rsbs,RF,T3,0.021621316527752944
Irzip,rsbs,SVR,T1,68.24164899868768
Irzip,rsbs,SVR,T2,0.25212537929903045
Irzip,rsbs,SVR,T3,0.3613452868273874
Irzip,rsbs,kNN,T1,35.17354179920002
Irzip,rsbs,kNN,T2,1.1054841691364998
Irzip,rsbs,kNN,T3,0.06824967687015203
Irzip,sbs,CART,T1,0.0
Irzip,sbs,CART,T2,0.0
Irzip,sbs,CART,T3,0.0
Irzip,sbs,KRR,T1,0.0
Irzip,sbs,KRR,T2,0.0
Irzip,sbs,KRR,T3,0.0
Irzip,sbs,MR,T1,0.0
Irzip,sbs,MR,T2,0.0
Irzip,sbs,MR,T3,0.0
Irzip,sbs,RF,T1,0.0
Irzip,sbs,RF,T2,0.0
Irzip,sbs,RF,T3,0.0
Irzip,sbs,SVR,T1,0.0
Irzip,sbs,SVR,T2,0.0
Irzip,sbs,SVR,T3,0.0
Irzip,sbs,kNN,T1,0.0
Irzip,sbs,kNN,T2,0.0
Irzip,sbs,kNN,T3,0.0
Irzip,twise,CART,T1,0.0
Irzip,twise,CART,T2,0.0
Irzip,twise,CART,T3,0.0
Irzip,twise,KRR,T1,0.0
Irzip,twise,KRR,T2,0.0
Irzip,twise,KRR,T3,0.0
Irzip,twise,MR,T1,0.0
Irzip,twise,MR,T2,0.0
Irzip,twise,MR,T3,0.0
Irzip,twise,RF,T1,0.0
Irzip,twise,RF,T2,0.0
Irzip,twise,RF,T3,0.0
Irzip,twise,SVR,T1,0.0
Irzip,twise,SVR,T2,0.0
Irzip,twise,SVR,T3,0.0
Irzip,twise,kNN,T1,0.0
Irzip,twise,kNN,T2,0.0
Irzip,twise,kNN,T3,0.0
JavaGC,dbs,CART,T1,0.5738507680433065
JavaGC,dbs,CART,T2,0.04377106690181937
JavaGC,dbs,CART,T3,0.06245810822145465
JavaGC,dbs,KRR,T1,0.3191368860835332
JavaGC,dbs,KRR,T2,0.01931167885105157
JavaGC,dbs,KRR,T3,0.00873369067131131
JavaGC,dbs,MR,T1,0.3913391302331639
JavaGC,dbs,MR,T2,0.013943749143831221
JavaGC,dbs,MR,T3,0.01478099035477019
JavaGC,dbs,RF,T1,0.21590145568111505
JavaGC,dbs,RF,T2,0.0156462061773563
JavaGC,dbs,RF,T3,0.032424840949075884
JavaGC,dbs,SVR,T1,0.6214136064991898
JavaGC,dbs,SVR,T2,0.026934718130937722
JavaGC,dbs,SVR,T3,0.013888879586048532
JavaGC,dbs,kNN,T1,0.279285720787393
JavaGC,dbs,kNN,T2,0.00860698255126185
JavaGC,dbs,kNN,T3,0.00437046199970236
JavaGC,ddbs,CART,T1,0.33141401270094006
JavaGC,ddbs,CART,T2,0.04289783299206477
JavaGC,ddbs,CART,T3,0.0008245563917319095
JavaGC,ddbs,KRR,T1,0.2007156455832794
JavaGC,ddbs,KRR,T2,0.018956350700556932
JavaGC,ddbs,KRR,T3,0.004107394407323638
JavaGC,ddbs,MR,T1,0.25826024720034674
JavaGC,ddbs,MR,T2,0.029156323565720604
JavaGC,ddbs,MR,T3,0.002560291471711359
JavaGC,ddbs,RF,T1,0.18719317919532794
JavaGC,ddbs,RF,T2,0.030593812062094043
JavaGC,ddbs,RF,T3,0.0004887483275961861
JavaGC,ddbs,SVR,T1,0.2761139526928829
JavaGC,ddbs,SVR,T2,0.05047756487380034
JavaGC,ddbs,SVR,T3,0.005481167053020416
JavaGC,ddbs,kNN,T1,0.19427815553472896
JavaGC,ddbs,kNN,T2,0.02347657756569851
JavaGC,ddbs,kNN,T3,0.003688161720289556
JavaGC,random,CART,T1,0.3891132609295907
JavaGC,random,CART,T2,0.02551322383029716
JavaGC,random,CART,T3,0.0001030149676923697
JavaGC,random,KRR,T1,0.22889909738696193
JavaGC,random,KRR,T2,0.013913845487124394
JavaGC,random,KRR,T3,0.0013661445182113915
JavaGC,random,MR,T1,0.2661452186050543
JavaGC,random,MR,T2,0.01819960412579496
JavaGC,random,MR,T3,0.00047784260442157114
JavaGC,random,RF,T1,0.2780246568504753
JavaGC,random,RF,T2,0.018505743853951248
JavaGC,random,RF,T3,8.872603268051883e-05
JavaGC,random,SVR,T1,0.11126308019808134
