comb1,comb2,p,median_diff_combs,p_holm,p_bh,sig_holm,sig_bh
twise_CART,rsbs_kNN,0.064453125,-0.12135981952657948,1.0,0.18046874999999998,False,False
twise_CART,ddbs_SVR,0.064453125,-0.0795480320447125,1.0,0.18046874999999998,False,False
random_kNN,rsbs_KRR,0.064453125,0.03765137023064023,1.0,0.18046874999999998,False,False
dbs_KRR,rsbs_MR,0.064453125,0.0724506442303301,1.0,0.18046874999999998,False,False
ddbs_KRR,ddbs_RF,0.064453125,0.07879586642323264,1.0,0.18046874999999998,False,False
random_SVR,sbs_KRR,0.064453125,-0.06714195603485017,1.0,0.18046874999999998,False,False
random_SVR,sbs_SVR,0.064453125,-0.0492689639565676,1.0,0.18046874999999998,False,False
random_CART,random_MR,0.064453125,-0.04901795760130359,1.0,0.18046874999999998,False,False
random_kNN,rsbs_SVR,0.083984375,0.021946149772854265,1.0,0.2099609375,False,False
dbs_MR,dbs_SVR,0.083984375,-0.05526458989929579,1.0,0.2099609375,False,False
dbs_MR,rsbs_CART,0.083984375,0.0674895020527977,1.0,0.2099609375,False,False
random_RF,twise_KRR,0.083984375,-0.11617899128425595,1.0,0.2099609375,False,False
random_kNN,twise_CART,0.083984375,0.10605194572708806,1.0,0.2099609375,False,False
random_RF,twise_SVR,0.083984375,-0.0318051699232198,1.0,0.2099609375,False,False
ddbs_CART,ddbs_KRR,0.083984375,-0.1567775617894157,1.0,0.2099609375,False,False
sbs_RF,rsbs_kNN,0.083984375,-0.33578345383559877,1.0,0.2099609375,False,False
dbs_KRR,ddbs_MR,0.083984375,0.07986521528933131,1.0,0.2099609375,False,False
sbs_SVR,ddbs_RF,0.083984375,0.0817857718236428,1.0,0.2099609375,False,False
twise_kNN,ddbs_MR,0.083984375,0.11039104484562964,1.0,0.2099609375,False,False
twise_SVR,rsbs_RF,0.083984375,0.037514099441971566,1.0,0.2099609375,False,False
twise_SVR,rsbs_SVR,0.083984375,-0.04270793005091325,1.0,0.2099609375,False,False
random_KRR,ddbs_RF,0.083984375,0.09272274968576749,1.0,0.2099609375,False,False
twise_SVR,sbs_SVR,0.083984375,-0.04701968068952729,1.0,0.2099609375,False,False
twise_KRR,rsbs_RF,0.083984375,0.19149145270056467,1.0,0.2099609375,False,False
random_RF,rsbs_KRR,0.083984375,-0.1449550819129639,1.0,0.2099609375,False,False
random_CART,sbs_RF,0.083984375,-0.06899606685195661,1.0,0.2099609375,False,False
rsbs_CART,rsbs_MR,0.083984375,-0.029275466854846416,1.0,0.2099609375,False,False
twise_KRR,ddbs_CART,0.083984375,0.24636521200146727,1.0,0.2099609375,False,False
twise_RF,rsbs_SVR,0.083984375,-0.07342770566657539,1.0,0.2099609375,False,False
twise_KRR,twise_MR,0.083984375,0.07616605472191415,1.0,0.2099609375,False,False
twise_KRR,rsbs_kNN,0.083984375,-0.04871124546573999,1.0,0.2099609375,False,False
random_MR,sbs_CART,0.083984375,-0.09642688701753176,1.0,0.2099609375,False,False
twise_CART,dbs_KRR,0.083984375,-0.05458756717153565,1.0,0.2099609375,False,False
