metric,coverage_t,sample_size_source_t,kw_statistic,kw_pvalue,kw_significant,epsilon_squared,effect_strength,median_random,median_solver,median_distance,mean_random,mean_solver,mean_distance,best_strategy_by_median,worst_strategy_by_median,median_gap_best_vs_worst,dunn_random_solver,dunn_random_distance,dunn_solver_distance,pairwise_summary
Default,2,1,2435.3180949817365,0.0,True,0.3526547963741647,EffectStrength.LARGER,0.5261595547309833,0.3397248853689037,0.4200234649980446,0.5411655017114388,0.3493714294461747,0.4245228884629192,random,solver,0.18643466936207959,0.0,1.051630311447157e-152,1.1420792141013519e-116,random > solver; random > distance; distance > solver
Default,2,2,1706.2498730694836,0.0,True,0.24699273522746137,EffectStrength.LARGER,0.7291169451073986,0.5294117647058822,0.6116424116424116,0.7412128136987445,0.5684494843142356,0.617173956622113,random,solver,0.1997051804015163,0.0,2.7714364772332138e-167,1.18301241976982e-37,random > solver; random > distance; distance > solver
Default,2,3,539.8642247223864,5.888072014670137e-118,True,0.08537527376545817,EffectStrength.MEDIUM,0.7509355509355509,0.6836158192090395,0.6963788300835654,0.756422082287836,0.6873429199364331,0.7015100330812911,random,solver,0.0673197317265114,1.2789417446504583e-105,6.307618439847406e-70,3.1632534482911046e-05,random > solver; random > distance; distance > solver
Default,3,1,1680.127963286635,0.0,True,0.24320695120096159,EffectStrength.LARGER,0.33031463163418,0.1874211569652189,0.2408422434091172,0.35550263200910176,0.20665349128912136,0.25253922946801943,random,solver,0.1428934746689611,0.0,4.356013803917425e-123,2.800052075610937e-66,random > solver; random > distance; distance > solver
Default,3,2,1678.54728339201,0.0,True,0.24297786715826233,EffectStrength.LARGER,0.5573995807992304,0.3443466064053611,0.4010113096846412,0.5852486010733636,0.39534491198738503,0.4290876380626672,random,solver,0.21305297439386928,0.0,3.329482837231272e-186,2.759122532002059e-25,random > solver; random > distance; distance > solver
Default,3,3,1136.106387434844,1.9844151820328396e-247,True,0.18789038890570642,EffectStrength.LARGER,0.6205832865956253,0.4992666074806037,0.5085925603654557,0.6361247374668805,0.5140130885597136,0.5152006135916782,random,solver,0.12131667911502164,3.480484517734451e-191,1.9346903270118239e-178,0.44239903516124035,random > solver; random > distance; solver ~ distance
MDAP_MF-DF-ALS-PCI,1,1,2743.98194239614,0.0,True,0.3973886873037884,EffectStrength.LARGER,0.78,0.5769230769230768,0.6794871794871795,0.7733834629162748,0.5906034889432635,0.681386591006438,random,solver,0.20307692307692327,0.0,9.165776060760032e-129,1.579687890460834e-174,random > solver; random > distance; distance > solver
MDAP_MF-DF-ALS-PCI,1,2,932.8314704491607,2.7429628086157385e-203,True,0.13490311165929866,EffectStrength.MEDIUM,0.8703703703703703,0.765625,0.8214285714285714,0.8691720217081861,0.7804972065049594,0.8223531789683153,random,solver,0.10474537037037035,7.717096955154563e-204,7.818765584373837e-62,1.0213960754319698e-43,random > solver; random > distance; distance > solver
MDAP_MF-DF-ALS-PCI,1,3,62.96529738465093,2.1245130211395914e-14,True,0.009677031330896974,EffectStrength.NEGLIGIBLE,0.859375,0.859375,0.8571428571428571,0.8630889778132588,0.8389191827478018,0.8547060712277531,random,distance,0.0022321428571429047,1.053670370600311e-14,3.0848237502711976e-06,0.0021726960468396654,random ~ solver; random > distance; solver > distance
MDAP_MF-DF-ALS-PCI,2,1,2095.5114727158425,0.0,True,0.3034074598138902,EffectStrength.LARGER,0.5301701908200102,0.3235294117647059,0.4269430051813471,0.5334602090622813,0.3510160768718316,0.4248300318346485,random,solver,0.20664077905530426,0.0,4.540149817533744e-128,5.966952322080437e-104,random > solver; random > distance; distance > solver
MDAP_MF-DF-ALS-PCI,2,2,1341.0001458827778,6.390255250344503e-292,True,0.19405799215692432,EffectStrength.LARGER,0.7220216606498195,0.5389375966993295,0.6059824651882413,0.7303848877089864,0.5681921901665105,0.6137698112321177,random,solver,0.18308406395049004,1.0024321433889652e-281,3.026410736079221e-129,1.582699099101603e-31,random > solver; random > distance; distance > solver
MDAP_MF-DF-ALS-PCI,2,3,327.1020722443858,9.347328432972401e-72,True,0.05160350353085489,EffectStrength.SMALL,0.7318205260443527,0.6833333333333333,0.6960784313725489,0.7425955917836954,0.6755706628293059,0.6922650964320679,random,solver,0.04848719271101931,1.2501388199275379e-63,2.338188219504358e-44,0.003925441604667648,random > solver; random > distance; distance > solver
MDAP_MF-DF-ALS-PCI,3,1,1340.679446944202,7.501655144742292e-292,True,0.19401151404988434,EffectStrength.LARGER,0.3455805603106342,0.1779112754158964,0.2457099912320988,0.351581881599804,0.2113329370177542,0.2561265791865645,random,solver,0.1676692848947378,3.4617304945539224e-290,7.21095068614358e-101,2.1222399729867915e-51,random > solver; random > distance; distance > solver
MDAP_MF-DF-ALS-PCI,3,2,1278.494904883408,2.3897850164960187e-278,True,0.1849992615773055,EffectStrength.LARGER,0.5673261180534938,0.3555399226169539,0.4035714285714285,0.5809833071885154,0.4011682674771591,0.43064945003921346,random,solver,0.21178619543653987,4.1784408735589596e-257,5.058605930545217e-148,7.062238772421907e-17,random > solver; random > distance; distance > solver
MDAP_MF-DF-ALS-PCI,3,3,761.3369081759374,4.762017147889202e-166,True,0.1258013433028392,EffectStrength.MEDIUM,0.6141264743191815,0.495845684940086,0.5078817733990147,0.6276810550416091,0.50700731306298,0.5091435688597467,random,solver,0.11828078937909553,2.7991373714950173e-125,1.2405009775512524e-123,0.981845174058281,random > solver; random > distance; solver ~ distance
MDA_MF-DF-ALS,1,1,2743.98194239614,0.0,True,0.3973886873037884,EffectStrength.LARGER,0.78,0.5769230769230768,0.6794871794871795,0.7733834629162748,0.5906034889432635,0.681386591006438,random,solver,0.20307692307692327,0.0,9.165776060760032e-129,1.579687890460834e-174,random > solver; random > distance; distance > solver
MDA_MF-DF-ALS,1,2,932.8314704491607,2.7429628086157385e-203,True,0.13490311165929866,EffectStrength.MEDIUM,0.8703703703703703,0.765625,0.8214285714285714,0.8691720217081861,0.7804972065049594,0.8223531789683153,random,solver,0.10474537037037035,7.717096955154563e-204,7.818765584373837e-62,1.0213960754319698e-43,random > solver; random > distance; distance > solver
