system,strategy,sample_size_source_t,sample_size,coverage_t,run,metric,coverage
BerkeleyDBC,distance,1,10,1,1,PCI,0.77142857142857146
BerkeleyDBC,distance,1,10,2,1,ALS,0.57056451612903225
BerkeleyDBC,distance,1,10,2,1,AP_ALS-PCI,0.56441717791411039
BerkeleyDBC,distance,1,10,2,1,Default,0.54706927175843689
BerkeleyDBC,distance,1,10,2,1,MDAP_MF-DF-ALS-PCI,0.55603448275862066
BerkeleyDBC,distance,1,10,2,1,MDA_MF-DF-ALS,0.55603448275862066
BerkeleyDBC,distance,1,10,2,1,MDP_MF-DF-PCI,0.55603448275862066
BerkeleyDBC,distance,1,10,2,1,MD_MF-DF,0.55603448275862066
BerkeleyDBC,distance,1,10,2,1,PCI,0.55045871559633031
BerkeleyDBC,distance,1,10,3,1,ALS,0.38837312113174183
BerkeleyDBC,distance,1,10,3,1,AP_ALS-PCI,0.37785467128027683
BerkeleyDBC,distance,1,10,3,1,Default,0.36168679041268698
BerkeleyDBC,distance,1,10,3,1,MDAP_MF-DF-ALS-PCI,0.3692118226600985
BerkeleyDBC,distance,1,10,3,1,MDA_MF-DF-ALS,0.3692118226600985
BerkeleyDBC,distance,1,10,3,1,MDP_MF-DF-PCI,0.3692118226600985
BerkeleyDBC,distance,1,10,3,1,MD_MF-DF,0.3692118226600985
BerkeleyDBC,distance,1,10,3,1,PCI,0.36925515055467512
BerkeleyDBC,distance,1,10,1,2,ALS,0.81818181818181823
BerkeleyDBC,distance,1,10,1,2,AP_ALS-PCI,0.81818181818181823
BerkeleyDBC,distance,1,10,1,2,Default,0.80000000000000004
BerkeleyDBC,distance,1,10,1,2,MDAP_MF-DF-ALS-PCI,0.8125
BerkeleyDBC,distance,1,10,1,2,MDA_MF-DF-ALS,0.8125
BerkeleyDBC,distance,1,10,1,2,MDP_MF-DF-PCI,0.8125
BerkeleyDBC,distance,1,10,1,2,MD_MF-DF,0.8125
BerkeleyDBC,distance,1,10,1,2,PCI,0.80000000000000004
BerkeleyDBC,distance,1,10,2,2,ALS,0.59879032258064513
BerkeleyDBC,distance,1,10,2,2,AP_ALS-PCI,0.59304703476482623
BerkeleyDBC,distance,1,10,2,2,Default,0.5719360568383659
BerkeleyDBC,distance,1,10,2,2,MDAP_MF-DF-ALS-PCI,0.58405172413793105
BerkeleyDBC,distance,1,10,2,2,MDA_MF-DF-ALS,0.58405172413793105
BerkeleyDBC,distance,1,10,2,2,MDP_MF-DF-PCI,0.58405172413793105
BerkeleyDBC,distance,1,10,2,2,MD_MF-DF,0.58405172413793105
BerkeleyDBC,distance,1,10,2,2,PCI,0.57614678899082572
BerkeleyDBC,distance,1,10,3,2,ALS,0.40075154730327145
BerkeleyDBC,distance,1,10,3,2,AP_ALS-PCI,0.39077277970011531
BerkeleyDBC,distance,1,10,3,2,Default,0.37231933681744456
BerkeleyDBC,distance,1,10,3,2,MDAP_MF-DF-ALS-PCI,0.37980295566502464
BerkeleyDBC,distance,1,10,3,2,MDA_MF-DF-ALS,0.37980295566502464
BerkeleyDBC,distance,1,10,3,2,MDP_MF-DF-PCI,0.37980295566502464
BerkeleyDBC,distance,1,10,3,2,MD_MF-DF,0.37980295566502464
BerkeleyDBC,distance,1,10,3,2,PCI,0.38094294770206022
BerkeleyDBC,solver,1,10,1,1,ALS,0.72727272727272729
